,attacks
0,neptune
1,normal
2,saint
3,mscan
4,normal
5,normal
6,guess_passwd
7,normal
8,guess_passwd
9,mscan
10,normal
11,neptune
12,neptune
13,normal
14,normal
15,normal
16,normal
17,normal
18,neptune
19,neptune
20,mscan
21,normal
22,normal
23,neptune
24,neptune
25,normal
26,normal
27,smurf
28,normal
29,apache2
30,normal
31,normal
32,normal
33,satan
34,mscan
35,normal
36,buffer_overflow
37,normal
38,normal
39,neptune
40,normal
41,normal
42,normal
43,neptune
44,normal
45,neptune
46,back
47,mscan
48,normal
49,normal
50,normal
51,neptune
52,neptune
53,warezmaster
54,normal
55,neptune
56,snmpgetattack
57,processtable
58,normal
59,guess_passwd
60,warezmaster
61,normal
62,normal
63,satan
64,normal
65,mscan
66,neptune
67,neptune
68,normal
69,neptune
70,normal
71,normal
72,normal
73,neptune
74,normal
75,normal
76,processtable
77,normal
78,normal
79,neptune
80,neptune
81,pod
82,normal
83,normal
84,normal
85,neptune
86,mscan
87,normal
88,normal
89,normal
90,normal
91,neptune
92,httptunnel
93,guess_passwd
94,normal
95,normal
96,normal
97,nmap
98,neptune
99,satan
100,guess_passwd
101,neptune
102,neptune
103,normal
104,neptune
105,ps
106,normal
107,neptune
108,normal
109,normal
110,neptune
111,processtable
112,processtable
113,normal
114,neptune
115,normal
116,smurf
117,neptune
118,snmpguess
119,normal
120,smurf
121,nmap
122,neptune
123,normal
124,normal
125,guess_passwd
126,neptune
127,normal
128,normal
129,normal
130,normal
131,processtable
132,normal
133,processtable
134,normal
135,neptune
136,snmpguess
137,mscan
138,normal
139,normal
140,normal
141,neptune
142,neptune
143,apache2
144,ipsweep
145,mscan
146,neptune
147,normal
148,processtable
149,guess_passwd
150,neptune
151,pod
152,mailbomb
153,normal
154,neptune
155,processtable
156,neptune
157,neptune
158,neptune
159,neptune
160,neptune
161,satan
162,neptune
163,warezmaster
164,neptune
165,neptune
166,warezmaster
167,normal
168,neptune
169,processtable
170,normal
171,neptune
172,neptune
173,apache2
174,normal
175,satan
176,saint
177,guess_passwd
178,normal
179,smurf
180,normal
181,normal
182,normal
183,normal
184,guess_passwd
185,neptune
186,neptune
187,normal
188,neptune
189,normal
190,processtable
191,neptune
192,normal
193,normal
194,normal
195,normal
196,guess_passwd
197,neptune
198,snmpgetattack
199,mscan
200,normal
201,apache2
202,normal
203,normal
204,satan
205,neptune
206,processtable
207,normal
208,normal
209,apache2
210,warezmaster
211,normal
212,normal
213,normal
214,smurf
215,normal
216,normal
217,normal
218,snmpguess
219,normal
220,normal
221,normal
222,neptune
223,normal
224,back
225,normal
226,neptune
227,normal
228,normal
229,normal
230,mscan
231,warezmaster
232,normal
233,neptune
234,pod
235,apache2
236,normal
237,apache2
238,mscan
239,normal
240,normal
241,apache2
242,neptune
243,neptune
244,normal
245,warezmaster
246,neptune
247,neptune
248,normal
249,normal
250,normal
251,guess_passwd
252,normal
253,neptune
254,satan
255,mscan
256,normal
257,warezmaster
258,normal
259,normal
260,warezmaster
261,normal
262,neptune
263,neptune
264,neptune
265,guess_passwd
266,normal
267,normal
268,ipsweep
269,neptune
270,normal
271,neptune
272,portsweep
273,neptune
274,normal
275,mscan
276,normal
277,neptune
278,neptune
279,normal
280,warezmaster
281,warezmaster
282,mscan
283,neptune
284,normal
285,warezmaster
286,neptune
287,normal
288,processtable
289,normal
290,httptunnel
291,mscan
292,normal
293,normal
294,normal
295,mscan
296,normal
297,neptune
298,normal
299,neptune
300,back
301,normal
302,guess_passwd
303,normal
304,normal
305,satan
306,warezmaster
307,neptune
308,neptune
309,satan
310,normal
311,normal
312,normal
313,normal
314,neptune
315,guess_passwd
316,normal
317,neptune
318,normal
319,normal
320,normal
321,normal
322,neptune
323,normal
324,warezmaster
325,smurf
326,guess_passwd
327,mscan
328,neptune
329,neptune
330,normal
331,neptune
332,normal
333,neptune
334,normal
335,normal
336,normal
337,neptune
338,portsweep
339,mscan
340,apache2
341,normal
342,normal
343,back
344,satan
345,mscan
346,satan
347,processtable
348,normal
349,neptune
350,neptune
351,guess_passwd
352,normal
353,normal
354,guess_passwd
355,normal
356,normal
357,normal
358,neptune
359,normal
360,normal
361,neptune
362,normal
363,normal
364,normal
365,normal
366,satan
367,normal
368,snmpguess
369,normal
370,neptune
371,back
372,normal
373,normal
374,neptune
375,guess_passwd
376,guess_passwd
377,neptune
378,normal
379,normal
380,processtable
381,neptune
382,processtable
383,normal
384,normal
385,neptune
386,normal
387,normal
388,normal
389,processtable
390,normal
391,neptune
392,saint
393,normal
394,normal
395,smurf
396,normal
397,normal
398,normal
399,neptune
400,normal
401,guess_passwd
402,neptune
403,normal
404,neptune
405,normal
406,snmpgetattack
407,processtable
408,neptune
409,normal
410,neptune
411,normal
412,saint
413,normal
414,normal
415,back
416,neptune
417,mailbomb
418,normal
419,neptune
420,normal
421,normal
422,neptune
423,normal
424,normal
425,mscan
426,normal
427,neptune
428,multihop
429,neptune
430,normal
431,mailbomb
432,teardrop
433,mscan
434,normal
